_proposicao_id,564446
_proposicao_nome,"PL 4922/2012"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,4922
_proposicao_ano,2012
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"21/12/2012 17:22:56"
_proposicao_txtEmenta,"Acrescenta o § 4º ao art.13 da Lei nº 9.504. de 30 de setembro de 1997. que estabelece normas para as eleições."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Augusto Coutinho"
_proposicao_autor1_idecadastro,160665
_proposicao_autor1_codPartido,202
_proposicao_autor1_txtSiglaPartido,DEM
_proposicao_autor1_txtSiglaUF,PE
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"20/2/2013 11:45:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se ao PL-5458/2009.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2003
_proposicao_situacao_orgao_siglaOrgaoEstado,CCJC
_proposicao_situacao_principal_codProposicaoPrincipal,439529
_proposicao_situacao_principal_proposicaoPrincipal,"PL 5458/2009"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,564436
_proposicao_nome,"PL 4921/2012"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,4921
_proposicao_ano,2012
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"21/12/2012 16:27:00"
_proposicao_txtEmenta,"Dispõe sobre a remuneração dos militares do Distrito Federal e das Carreiras de Delegado de Polícia do Distrito Federal e de Polícia Civil do Distrito Federal.NOVA EMENTA: Dispõe sobre a remuneração dos militares do Distrito Federal e das Carreiras de Delegado de Polícia do Distrito Federal e de Polícia Civil do Distrito Federal e altera as Leis nºs 11.134. de 15 de julho de 2005. 10.486. de 4 de julho de 2002. e 11.361. de 19 de outubro de 2006."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,21
_proposicao_regime_txtRegime,"Urgência art. 155 RICD"
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Poder Executivo"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,
_proposicao_autor1_txtSiglaUF,
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"20/2/2013 11:31:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Trabalho. de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Prioridade"
_proposicao_situacao_id,1140
_proposicao_situacao_descricao,"Transformado em Norma Jurídica"
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,564429
_proposicao_nome,"PL 4920/2012"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,4920
_proposicao_ano,2012
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"21/12/2012 15:32:00"
_proposicao_txtEmenta,"Acrescenta art. 7º-A à Lei nº 9.504. de 30 de setembro de 1997. para disciplinar a realização de eleições primárias para a escolha do candidato a Presidente da República."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Senado Federal - Alvaro Dias"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,PSDB
_proposicao_autor1_txtSiglaUF,PR
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"28/2/2013 10:31:00"
