_proposicao_id,422460
_proposicao_nome,"PL 4571/2008"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,4571
_proposicao_ano,2008
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"31/12/2008 12:30:00"
_proposicao_txtEmenta,"Dispõe sobre o benefício do pagamento de meia-entrada. para estudantes e idosos. em espetáculos artísticos-culturais e esportivos."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Senado Federal - Eduardo Azeredo e Flavio Arns"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,PSDB
_proposicao_autor1_txtSiglaUF,MG
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"6/4/2009 17:05:00"
_proposicao_ultimoDespacho_txtDespacho,"NOVO DESPACHO: Às Comissões de Defesa do Consumidor; de Seguridade Social e Família; de Educação e Cultura;  e de Constituição e Justiça e de Cidadania (Art. 54. RICD). Proposição sujeita à apreciação conclusiva pelas Comissões - Art. 24.II. Regime de tramitação: prioridade. Oficie-se e. após. publique-se."
_proposicao_situacao_id,1140
_proposicao_situacao_descricao,"Transformado em Norma Jurídica"
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,422459
_proposicao_nome,"PL 4570/2008"
_proposicao_tipoProposicao_id,139
