_proposicao_id,465327
_proposicao_nome,"PL 6719/2009"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,6719
_proposicao_ano,2009
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"23/12/2009 18:21:00"
_proposicao_txtEmenta,"Altera o Decreto-Lei nº 2.848. de 7 de dezembro de 1940 (Código Penal). com a finalidade de modificar as regras relativas à prescrição dos crimes praticados contra crianças e adolescentes.NOVA EMENTA: Altera o Decreto-Lei nº 2.848. de 7 de dezembro de 1940 - Código Penal. com a finalidade de modificar as regras relativas à prescrição dos crimes praticados contra crianças e adolescentes."
_proposicao_txtExplicacaoEmenta,"Estabelece o início da prescrição dos crimes contra a dignidade sexual de crianças e adolescentes a partir da data que a vítima completar dezoito (18) anos."
_proposicao_regime_codRegime,21
_proposicao_regime_txtRegime,"Urgência art. 155 RICD"
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Senado Federal - CPI da Pedofilia"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,NI
_proposicao_autor1_txtSiglaUF,NI
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,21/1/2010
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Seguridade Social e Família e Constituição e Justiça e de Cidadania (Mérito e Art. 54. RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,1140
_proposicao_situacao_descricao,"Transformado em Norma Jurídica"
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,465326
_proposicao_nome,"PL 6718/2009"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,6718
_proposicao_ano,2009
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"23/12/2009 18:12:00"
