_proposicao_id,490372
_proposicao_nome,"PL 8051/2010"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,8051
_proposicao_ano,2010
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"31/12/2010 09:59:00"
_proposicao_txtEmenta,"Dispõe sobre os royalties devidos em função da produção de petróleo. de gás natural e de outros hidrocarbonetos fluidos sob o regime de partilha de produção. em áreas do pré-sal e em áreas estratégicas. instituído pela Lei nº 12.351. de 22 de dezembro de 2010. para os Estados. Distrito Federal. Municípios e órgãos da administração direta da União. e dá outras providências."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,21
_proposicao_regime_txtRegime,"Urgência art. 155 RICD"
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Poder Executivo"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,
_proposicao_autor1_txtSiglaUF,
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"5/1/2011 10:44:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-1618/2003. Em consequência dessa apensação. o PL nº 1618/2003 e seus apensados passam a tramitar em regime de Prioridade.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,126743
_proposicao_situacao_principal_proposicaoPrincipal,"PL 1618/2003"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,490340
_proposicao_nome,"PL 8050/2010"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,8050
_proposicao_ano,2010
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"23/12/2010 15:52:00"
_proposicao_txtEmenta,"Acrescenta art. 487-A à Consolidação das Leis do Trabalho (CLT). aprovada pelo Decreto-Lei nº 5.452. de 1º de maio de 1943. para prever a obrigação de informar aos empregados. por meio do aviso prévio ou do recibo de rescisão contratual. o prazo prescricional do direito de ação previsto no inciso XXIX do art. 7º da Constituição Federal."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Senado Federal - Antonio Carlos Júnior"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,DEM
_proposicao_autor1_txtSiglaUF,BA
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"5/1/2011 14:29:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Trabalho. de Administração e Serviço Público e Constituição e Justiça e de Cidadania (Art. 54 RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Prioridade"
_proposicao_situacao_id,924
_proposicao_situacao_descricao,"Pronta para Pauta"
_proposicao_situacao_orgao_codOrgaoEstado,2015
_proposicao_situacao_orgao_siglaOrgaoEstado,CTASP
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,490282
_proposicao_nome,"PL 8049/2010"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,8049
_proposicao_ano,2010
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"23/12/2010 12:09:00"
_proposicao_txtEmenta,"Altera as Leis nº 8.212. de 24 de julho de 1991. e nº 8.213. de 24 de julho de 1991. para incluir o peão de rodeio. o vaqueiro de vaquejada e seus assemelhados na categoria de contribuinte individual do Regime Geral de Previdência Social."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Senado Federal - Romeu Tuma"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,DEM
_proposicao_autor1_txtSiglaUF,SP
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"5/1/2011 14:29:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Seguridade Social e Família; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Prioridade"
_proposicao_situacao_id,924
_proposicao_situacao_descricao,"Pronta para Pauta"
_proposicao_situacao_orgao_codOrgaoEstado,2003
_proposicao_situacao_orgao_siglaOrgaoEstado,CCJC
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,490277
_proposicao_nome,"PL 8048/2010"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,8048
_proposicao_ano,2010
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"23/12/2010 11:54:00"
_proposicao_txtEmenta,"Altera o art. 35-F da Lei nº 9.656. de 3 de junho de 1998. que ""dispõe sobre os planos e seguros privados de assistência à saúde"". para instituir política de assistência à saúde da criança e do adolescente no âmbito do Sistema de Saúde Suplementar."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
