_proposicao_qtdOrgaosComEstado,1
_proposicao_id,605290
_proposicao_nome,"PL 7026/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7026
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"20/12/2013 17:19:44"
_proposicao_txtEmenta,"Altera a Lei nº 9.096. de 19 de setembro de 1995. para dispor sobre critérios à criação de novos partidos."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Marina Santanna"
_proposicao_autor1_idecadastro,164361
_proposicao_autor1_codPartido,134
_proposicao_autor1_txtSiglaPartido,PT
_proposicao_autor1_txtSiglaUF,GO
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"23/1/2014 10:02:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-4547/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2003
_proposicao_situacao_orgao_siglaOrgaoEstado,CCJC
_proposicao_situacao_principal_codProposicaoPrincipal,557186
_proposicao_situacao_principal_proposicaoPrincipal,"PL 4547/2012"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,605279
_proposicao_nome,"PL 7025/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7025
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"20/12/2013 13:23:00"
_proposicao_txtEmenta,"Altera a Lei nº 11.340 de 7 de agosto de 2006. que cria mecanismos para coibir a violência doméstica e familiar contra a mulher. nos termos do § 8º do art. 226 da Constituição Federal. da Convenção sobre a Eliminação de Todas as Formas de Discriminação contra as Mulheres e da Convenção Interamericana para Prevenir. Punir e Erradicar a Violência contra a Mulher; dispõe sobre a criação dos Juizados de Violência Doméstica e Familiar contra a Mulher; altera o Código de Processo Penal e o Código Penal; e dá outras providências."
_proposicao_txtExplicacaoEmenta,"Altera os Decretos-leis nºs 2.848. de 1940 e 3.689. de 1941."
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Iara Bernardi"
_proposicao_autor1_idecadastro,74780
_proposicao_autor1_codPartido,134
_proposicao_autor1_txtSiglaPartido,PT
_proposicao_autor1_txtSiglaUF,SP
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"13/1/2014 14:56:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-5114/2013.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Ordinária"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2003
_proposicao_situacao_orgao_siglaOrgaoEstado,CCJC
_proposicao_situacao_principal_codProposicaoPrincipal,566855
_proposicao_situacao_principal_proposicaoPrincipal,"PL 5114/2013"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,605259
_proposicao_nome,"PL 7024/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7024
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"20/12/2013 11:00:00"
_proposicao_txtEmenta,"Acrescenta artigo à Lei nº 5.792. de 11 de julho de 1972. que ""Institui política de exploração de serviços de telecomunicações. autoriza o Poder Executivo a constituir a empresa Telecomunicações Brasileiras S/A. - TELEBRÁS. e dá outras providências"". para dispor sobre a definição de procedimentos licitatórios simplificados para a TELEBRÁS."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,20
_proposicao_regime_txtRegime,Prioridade
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Comissão de Ciência e Tecnologia. Comunicação e Informática"
_proposicao_autor1_idecadastro,
_proposicao_autor1_codPartido,
_proposicao_autor1_txtSiglaPartido,
_proposicao_autor1_txtSiglaUF,
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"5/2/2014 10:10:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Trabalho. de Administração e Serviço Público e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade"
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,605019
_proposicao_nome,"PL 7023/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7023
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 13:41:00"
_proposicao_txtEmenta,"Acrescenta art. 22-C à Lei nº 8.212. de 24 de julho de 1991. para dispor sobre a contribuição previdenciária substitutiva para os Municípios que possuem até trinta mil habitantes."
_proposicao_txtExplicacaoEmenta,"Dois por cento (2%) sobre a receita corrente líquida."
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Diego Andrade"
_proposicao_autor1_idecadastro,160588
_proposicao_autor1_codPartido,127
_proposicao_autor1_txtSiglaPartido,PSD
_proposicao_autor1_txtSiglaUF,MG
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"5/2/2014 10:10:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-6110/2013.Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2014
_proposicao_situacao_orgao_siglaOrgaoEstado,CSSF
_proposicao_situacao_principal_codProposicaoPrincipal,587340
_proposicao_situacao_principal_proposicaoPrincipal,"PL 6110/2013"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604998
_proposicao_nome,"PL 7022/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7022
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 11:48:33"
_proposicao_txtEmenta,"Fixa o horário mínimo para o encerramento do atendimento ao público por instituições financeiras e demais autorizadas a funcionar pelo Banco Central do Brasil."
_proposicao_txtExplicacaoEmenta,"O horário mínimo é 16:00 (local)."
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Felipe Bornier"
_proposicao_autor1_idecadastro,141430
_proposicao_autor1_codPartido,127
_proposicao_autor1_txtSiglaPartido,PSD
_proposicao_autor1_txtSiglaUF,RJ
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"25/4/2014 15:58:00"
_proposicao_ultimoDespacho_txtDespacho,"Deferido o Requerimento n. 10.018/2014. conforme despacho do seguinte teor: “Defiro o Requerimento n. 10.018/2014. Apense-se o Projeto de Lei n. 7.022/2013. ao Projeto de Lei n. 3.832/1997. nos termos do art. 142. caput. combinado com o art. 143. II. “b”. ambos do RICD. Publique-se. Oficie-se.”"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,180
_proposicao_situacao_orgao_siglaOrgaoEstado,PLEN
_proposicao_situacao_principal_codProposicaoPrincipal,20296
_proposicao_situacao_principal_proposicaoPrincipal,"PL 3832/1997"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604997
_proposicao_nome,"PL 7021/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7021
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 11:47:56"
_proposicao_txtEmenta,"Dispõe sobre a obrigatoriedade da reserva de espaços próprios em teatros. cinemas. auditórios e similares para pessoas com deficiência que utilizam cadeira de rodas e dá outras providências"
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,21
_proposicao_regime_txtRegime,"Urgência art. 155 RICD"
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Felipe Bornier"
_proposicao_autor1_idecadastro,141430
_proposicao_autor1_codPartido,127
_proposicao_autor1_txtSiglaPartido,PSD
_proposicao_autor1_txtSiglaUF,RJ
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,5/3/2015
_proposicao_ultimoDespacho_txtDespacho,"Declarado prejudicado em face da aprovação da Subemenda Substitutiva Global apresentada ao Projeto de Lei n. 7.699/2006. principal (Sessão Deliberativa Ordinária de 5 de março de 2015)."
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,393037
_proposicao_situacao_principal_proposicaoPrincipal,"PL 3353/2008"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604994
_proposicao_nome,"PL 7020/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7020
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 10:53:00"
_proposicao_txtEmenta,"Altera a Lei nº 11.898. de 8 de janeiro de 2009 - Lei do Sacoleiro. para incluir o Regime de Tributação Unificada (RTU) na importação de mercadorias procedentes da República Bolivariana da Venezuela."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,4
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II"
_proposicao_autor1_txtNomeAutor,"Chico das Verduras"
_proposicao_autor1_idecadastro,160634
_proposicao_autor1_codPartido,121
_proposicao_autor1_txtSiglaPartido,PRP
_proposicao_autor1_txtSiglaUF,RR
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"9/1/2014 16:48:00"
_proposicao_ultimoDespacho_txtDespacho,"Às Comissões de Desenvolvimento Econômico. Indústria e Comércio; Finanças e Tributação (Mérito e Art. 54. RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária"
_proposicao_situacao_id,923
_proposicao_situacao_descricao,Arquivada
_proposicao_situacao_orgao_codOrgaoEstado,4
_proposicao_situacao_orgao_siglaOrgaoEstado,MESA
_proposicao_situacao_principal_codProposicaoPrincipal,0
_proposicao_situacao_principal_proposicaoPrincipal,
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604990
_proposicao_nome,"PL 7019/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
_proposicao_tipoProposicao_nome,"Projeto de Lei"
_proposicao_numero,7019
_proposicao_ano,2013
_proposicao_orgaoNumerador_id,180
_proposicao_orgaoNumerador_sigla,PLEN
_proposicao_orgaoNumerador_nome,PLENÁRIO
_proposicao_datApresentacao,"19/12/2013 10:36:00"
_proposicao_txtEmenta,"Altera a Lei nº 11.343 de 23 de agosto de 2006. para dar mais rigor nas penas onde o condenado for reincidente."
_proposicao_txtExplicacaoEmenta,
_proposicao_regime_codRegime,14
_proposicao_regime_txtRegime,Ordinária
_proposicao_apreciacao_id,5
_proposicao_apreciacao_txtApreciacao,"Proposição Sujeita à Apreciação do Plenário"
_proposicao_autor1_txtNomeAutor,"Fernando Francischini"
_proposicao_autor1_idecadastro,160646
_proposicao_autor1_codPartido,223
_proposicao_autor1_txtSiglaPartido,SDD
_proposicao_autor1_txtSiglaUF,PR
_proposicao_qtdAutores,1
_proposicao_ultimoDespacho_datDespacho,"23/1/2014 10:02:00"
_proposicao_ultimoDespacho_txtDespacho,"Apense-se à(ao) PL-814/2011.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Ordinária"
_proposicao_situacao_id,925
_proposicao_situacao_descricao,"Tramitando em Conjunto"
_proposicao_situacao_orgao_codOrgaoEstado,2014
_proposicao_situacao_orgao_siglaOrgaoEstado,CSSF
_proposicao_situacao_principal_codProposicaoPrincipal,495889
_proposicao_situacao_principal_proposicaoPrincipal,"PL 814/2011"
_proposicao_indGenero,o
_proposicao_qtdOrgaosComEstado,1
_proposicao_id,604981
_proposicao_nome,"PL 7018/2013"
_proposicao_tipoProposicao_id,139
_proposicao_tipoProposicao_sigla,PL
